bar_index,shadow_clock_sample,stem_lockstep_drift_samples,stem_lockstep_drift_ms,stack_vs_shadow_drift_samples,stack_vs_shadow_drift_ms,stem_positions
0,0,4,0.09070,1,0.02268,1 -1 3 0 1
1,110250,5,0.11338,0,0.00000,110250 110248 110253 110248 110250
2,220500,2,0.04535,0,0.00000,220500 220501 220499 220500 220501
3,330750,2,0.04535,0,0.00000,330750 330749 330750 330751 330751
4,441000,5,0.11338,0,0.00000,440999 441000 441000 441003 441004
5,551250,7,0.15873,1,0.02268,551247 551251 551251 551250 551254
6,661500,3,0.06803,1,0.02268,661500 661501 661501 661500 661503
7,771750,6,0.13605,1,0.02268,771755 771751 771749 771751 771751
8,882000,3,0.06803,1,0.02268,882001 882003 882000 882001 882001
9,992250,6,0.13605,-1,-0.02268,992254 992249 992249 992248 992252
10,1102500,4,0.09070,0,0.00000,1102503 1102500 1102499 1102500 1102499
11,1212750,2,0.04535,-1,-0.02268,1212749 1212749 1212751 1212749 1212750
12,1323000,4,0.09070,0,0.00000,1323000 1322999 1322998 1323002 1323002
13,1433250,6,0.13605,-2,-0.04535,1433246 1433251 1433245 1433249 1433248
14,1543500,3,0.06803,0,0.00000,1543499 1543500 1543500 1543500 1543502
15,1653750,8,0.18141,-3,-0.06803,1653746 1653750 1653747 1653754 1653747
16,1764000,5,0.11338,-1,-0.02268,1764003 1763998 1764002 1763999 1763999
17,1874250,3,0.06803,0,0.00000,1874250 1874251 1874250 1874249 1874248
18,1984500,7,0.15873,0,0.00000,1984496 1984497 1984503 1984500 1984500
19,2094750,8,0.18141,-2,-0.04535,2094751 2094746 2094748 2094754 2094747
20,2205000,3,0.06803,1,0.02268,2205000 2205001 2205000 2205003 2205003
21,2315250,7,0.15873,-2,-0.04535,2315248 2315254 2315250 2315247 2315248
22,2425500,2,0.04535,-2,-0.04535,2425499 2425499 2425497 2425498 2425498
23,2535750,5,0.11338,-1,-0.02268,2535751 2535749 2535748 2535746 2535750
24,2646000,4,0.09070,0,0.00000,2645999 2646003 2646000 2646002 2645999
25,2756250,8,0.18141,2,0.04535,2756252 2756247 2756252 2756249 2756255
26,2866500,4,0.09070,-1,-0.02268,2866499 2866499 2866499 2866503 2866502
27,2976750,2,0.04535,0,0.00000,2976750 2976752 2976750 2976751 2976750
28,3087000,5,0.11338,0,0.00000,3086997 3087001 3087002 3086997 3087000
29,3197250,2,0.04535,-2,-0.04535,3197248 3197249 3197248 3197250 3197248
30,3307500,6,0.13605,1,0.02268,3307500 3307502 3307501 3307498 3307504
31,3417750,5,0.11338,0,0.00000,3417750 3417750 3417753 3417748 3417753
32,3528000,9,0.20408,-1,-0.02268,3527999 3528004 3527997 3528000 3527995
33,3638250,6,0.13605,3,0.06803,3638253 3638253 3638255 3638249 3638249
34,3748500,5,0.11338,0,0.00000,3748502 3748498 3748502 3748500 3748497
35,3858750,5,0.11338,-1,-0.02268,3858751 3858750 3858749 3858746 3858749
36,3969000,6,0.13605,1,0.02268,3969001 3969001 3968995 3969001 3969000
37,4079250,9,0.20408,-1,-0.02268,4079246 4079255 4079251 4079249 4079247
38,4189500,4,0.09070,0,0.00000,4189500 4189503 4189499 4189499 4189502
39,4299750,4,0.09070,0,0.00000,4299751 4299750 4299748 4299752 4299750
40,4410000,6,0.13605,-3,-0.06803,4409997 4409996 4409997 4410000 4410002
41,4520250,7,0.15873,0,0.00000,4520252 4520251 4520250 4520245 4520248
42,4630500,2,0.04535,0,0.00000,4630501 4630500 4630501 4630500 4630499
43,4740750,1,0.02268,1,0.02268,4740752 4740751 4740752 4740751 4740751
44,4851000,3,0.06803,-1,-0.02268,4851002 4851001 4850999 4850999 4850999
45,4961250,8,0.18141,-2,-0.04535,4961248 4961247 4961248 4961249 4961255
46,5071500,4,0.09070,0,0.00000,5071498 5071500 5071501 5071500 5071497
47,5181750,2,0.04535,1,0.02268,5181749 5181751 5181749 5181751 5181751
48,5292000,6,0.13605,2,0.04535,5291997 5292003 5292002 5292003 5292000
49,5402250,5,0.11338,1,0.02268,5402251 5402248 5402247 5402252 5402251
50,5512500,5,0.11338,0,0.00000,5512500 5512502 5512500 5512500 5512505
51,5622750,5,0.11338,3,0.06803,5622748 5622753 5622753 5622753 5622750
52,5733000,5,0.11338,-1,-0.02268,5732998 5732999 5732999 5733003 5733001
53,5843250,4,0.09070,1,0.02268,5843252 5843253 5843251 5843249 5843249
54,5953500,4,0.09070,-1,-0.02268,5953499 5953500 5953499 5953496 5953498
55,6063750,4,0.09070,1,0.02268,6063753 6063751 6063749 6063750 6063752
56,6174000,3,0.06803,0,0.00000,6173999 6174000 6174001 6174002 6174000
57,6284250,3,0.06803,0,0.00000,6284249 6284250 6284252 6284250 6284251
58,6394500,5,0.11338,-1,-0.02268,6394499 6394498 6394501 6394502 6394497
59,6504750,4,0.09070,0,0.00000,6504751 6504751 6504750 6504747 6504749
60,6615000,5,0.11338,0,0.00000,6614999 6614998 6615003 6615001 6615000
61,6725250,3,0.06803,0,0.00000,6725250 6725247 6725248 6725250 6725250
62,6835500,4,0.09070,0,0.00000,6835500 6835500 6835499 6835502 6835498
63,6945750,5,0.11338,0,0.00000,6945752 6945750 6945747 6945751 6945749
64,7056000,7,0.15873,-1,-0.02268,7056001 7055998 7056001 7055999 7055994
65,7166250,4,0.09070,2,0.04535,7166252 7166252 7166252 7166250 7166248
66,7276500,7,0.15873,-1,-0.02268,7276499 7276499 7276501 7276494 7276500
67,7386750,5,0.11338,-2,-0.04535,7386752 7386750 7386748 7386747 7386748
68,7497000,4,0.09070,1,0.02268,7497002 7496998 7497001 7497001 7497000
69,7607250,6,0.13605,0,0.00000,7607254 7607250 7607249 7607248 7607252
70,7717500,5,0.11338,1,0.02268,7717501 7717505 7717500 7717501 7717502
71,7827750,6,0.13605,-1,-0.02268,7827748 7827746 7827749 7827751 7827752
72,7938000,3,0.06803,1,0.02268,7938001 7938002 7937999 7938001 7938000
73,8048250,4,0.09070,0,0.00000,8048252 8048248 8048250 8048251 8048249
74,8158500,4,0.09070,-1,-0.02268,8158503 8158502 8158499 8158499 8158499
75,8268750,3,0.06803,1,0.02268,8268750 8268751 8268753 8268751 8268751
76,8379000,3,0.06803,0,0.00000,8379000 8379000 8378999 8379002 8379002
77,8489250,4,0.09070,0,0.00000,8489250 8489250 8489251 8489247 8489247
78,8599500,1,0.02268,-1,-0.02268,8599499 8599498 8599499 8599499 8599499
79,8709750,2,0.04535,1,0.02268,8709752 8709751 8709750 8709752 8709750
80,8820000,6,0.13605,0,0.00000,8819997 8820003 8820003 8820000 8819999
81,8930250,8,0.18141,2,0.04535,8930248 8930250 8930252 8930256 8930252
82,9040500,8,0.18141,0,0.00000,9040499 9040506 9040498 9040503 9040500
83,9150750,3,0.06803,0,0.00000,9150751 9150752 9150750 9150749 9150750
84,9261000,5,0.11338,1,0.02268,9261004 9261001 9260999 9260999 9261001
85,9371250,4,0.09070,-1,-0.02268,9371246 9371250 9371249 9371248 9371250
86,9481500,6,0.13605,-1,-0.02268,9481496 9481499 9481501 9481502 9481496
87,9591750,9,0.20408,0,0.00000,9591754 9591750 9591749 9591750 9591745
88,9702000,3,0.06803,0,0.00000,9702002 9702000 9701999 9702002 9701999
89,9812250,5,0.11338,-1,-0.02268,9812248 9812253 9812248 9812253 9812249
90,9922500,5,0.11338,0,0.00000,9922503 9922500 9922501 9922498 9922498
91,10032750,5,0.11338,1,0.02268,10032755 10032750 10032751 10032750 10032751
92,10143000,4,0.09070,1,0.02268,10143002 10142999 10143001 10143002 10142998
93,10253250,5,0.11338,-2,-0.04535,10253252 10253247 10253248 10253252 10253248
94,10363500,6,0.13605,1,0.02268,10363498 10363499 10363501 10363504 10363503
95,10473750,5,0.11338,0,0.00000,10473750 10473749 10473749 10473750 10473754
96,10584000,3,0.06803,-1,-0.02268,10584001 10583998 10583998 10583999 10584001
97,10694250,6,0.13605,0,0.00000,10694249 10694250 10694251 10694250 10694255
98,10804500,2,0.04535,1,0.02268,10804502 10804502 10804500 10804501 10804501
99,10914750,6,0.13605,0,0.00000,10914750 10914750 10914751 10914746 10914752
100,11025000,4,0.09070,1,0.02268,11025002 11025001 11024999 11025003 11025001
101,11135250,1,0.02268,1,0.02268,11135251 11135251 11135250 11135250 11135251
102,11245500,4,0.09070,0,0.00000,11245501 11245499 11245502 11245500 11245498
103,11355750,5,0.11338,1,0.02268,11355751 11355752 11355755 11355750 11355751
104,11466000,6,0.13605,0,0.00000,11466001 11466002 11465996 11466000 11465999
105,11576250,5,0.11338,0,0.00000,11576246 11576250 11576247 11576251 11576250
106,11686500,3,0.06803,0,0.00000,11686499 11686500 11686500 11686501 11686498
107,11796750,3,0.06803,1,0.02268,11796750 11796751 11796751 11796753 11796753
108,11907000,8,0.18141,-1,-0.02268,11906999 11906997 11907005 11907000 11906999
109,12017250,5,0.11338,0,0.00000,12017253 12017248 12017250 12017250 12017250
110,12127500,3,0.06803,0,0.00000,12127500 12127499 12127501 12127500 12127502
111,12237750,3,0.06803,1,0.02268,12237752 12237751 12237749 12237750 12237752
112,12348000,7,0.15873,-2,-0.04535,12348002 12347996 12347995 12348001 12347998
113,12458250,6,0.13605,-1,-0.02268,12458249 12458251 12458254 12458249 12458248
114,12568500,5,0.11338,2,0.04535,12568502 12568503 12568502 12568500 12568498
115,12678750,3,0.06803,1,0.02268,12678751 12678751 12678751 12678754 12678752
116,12789000,1,0.02268,1,0.02268,12789001 12789001 12789002 12789002 12789001
117,12899250,4,0.09070,1,0.02268,12899251 12899253 12899249 12899251 12899250
118,13009500,4,0.09070,-2,-0.04535,13009498 13009498 13009497 13009499 13009501
119,13119750,5,0.11338,0,0.00000,13119752 13119750 13119752 13119747 13119748
120,13230000,8,0.18141,1,0.02268,13230002 13230004 13229996 13229997 13230001
121,13340250,2,0.04535,1,0.02268,13340251 13340251 13340251 13340249 13340249
122,13450500,5,0.11338,1,0.02268,13450501 13450501 13450496 13450500 13450501
123,13560750,9,0.20408,-1,-0.02268,13560754 13560748 13560749 13560745 13560751
124,13671000,2,0.04535,1,0.02268,13671000 13671002 13671002 13671001 13671001
125,13781250,5,0.11338,0,0.00000,13781251 13781248 13781248 13781250 13781253
126,13891500,5,0.11338,0,0.00000,13891500 13891498 13891503 13891501 13891498
127,14001750,6,0.13605,1,0.02268,14001752 14001750 14001751 14001753 14001747
